"","Total","F_FL1","F_FL2","F_FL3","F_FL4","F_FL5","F_FL6","F_FL7","F_FL8","F_FL9","F_FL10","F_FL11","F_FL12","F_FL13","Z","M","Mat.Fec","SelW1","SelW2","SelW3","SelW4","SelW5","SelW6","SelW7","SelW8","SelW9","SelW10","SelW11","SelW12","SelW13","N"
"0",0.00462980568159512,9.52158582953552e-14,0.000432194283206711,1.09054736042981e-06,1.27443801758892e-06,0.00124569169052075,0.0021038860453246,1.04402946187434e-07,0.000292908606311877,0.000251917500072075,1.38698838408068e-16,0.000300499843871286,2.38323868259217e-07,0,0.404629805681595,0.4,0,2.38177,1.48479,0.301285,0.850368,0.560554,0.877308,0.113216,0.627288,0.807525,0.706236,0.20043,0.20043,0.675893,1
"0.25",0.110219321965214,1.27210841934283e-11,0.0218341546814747,0,0,0.081843897857458,0.00530984610875482,1.60785892496323e-07,0.000738473309802321,0.000369352433313985,0,5.17573611389916e-07,4.4921059356005e-07,0.000122469991591986,0.510219321965214,0.4,0,5.73263,2.14085,0.354352,2.37676,1.45247,1.4091,5.43293,1.16227,1.58986,2.72443,4.35927,4.35927,2.50723,0.667223767592532
"0.5",0.115565982850139,7.3797923622868e-11,0.0634247473865903,0,0,0.0481976528400307,0.00211183304804692,2.00021663150415e-06,0,0.00182951363836559,0,0,2.35646675656147e-07,0,0.515565982850139,0.4,0,9.34011,2.71307,1.942,4.13485,2.10836,1.86437,7.73888,2.0763,3.00849,6.48767,5.61232,5.61232,4.49125,0.400577057535291
"0.75",0.695578307245013,4.45822249067507e-07,0.576296764317101,0,0,0.0570765600037167,0.00204692232656672,0.0015492563161037,0,0.0457553670080593,6.20075235719123e-13,0.0128003333789042,5.26580716922819e-05,0,1.09557830724501,0.4,0,12.7539,3.31617,15.1938,5.85344,2.55052,2.29939,9.45328,3.55124,4.6574,11.7863,6.6355,6.6355,6.40579,0.23920960321373
"1",0.398029327112783,2.93632075000243e-07,0.050673062452054,1.75134663075283e-05,0.000334406260915839,0.00787768245275187,0.016718586464098,0.000973951304610304,0.00186650579289367,0.00873389431480088,4.78946088216052e-13,0.310587107235212,0.000246323736584953,0,0.494529327112783,0.0965,0,15.8413,3.99875,19.8785,7.48143,2.88649,2.75572,10.8697,5.51589,6.15732,17.9056,7.66443,7.66443,8.21937,0.0799788209292549
"1.25",0.211186083267013,1.70898519998748e-07,0.089775118695863,0,0,0.104008300931905,0.00503681143973556,0.000310534032673111,0.00187212750493338,0.00297447474006513,0,9.87128432753856e-05,8.56744329960388e-05,0.00702415774704683,0.307686083267013,0.0965,0,18.5902,4.7976,22.6001,9.06757,3.1832,3.27769,12.1079,7.75773,7.53223,23.9708,8.68406,8.68406,9.98603,0.048775714442811
"1.5",0.097947959433925,4.86216523089296e-08,0.069696718590856,0,0,0.0203079640332849,0.000748446619137005,0.000180639763561088,0,0.00701049730079296,0,0,3.64450464068619e-06,0,0.194447959433925,0.0965,0,21.033,5.76501,24.8009,10.6966,3.48376,3.92388,13.2728,10.1167,8.91443,29.2547,9.75232,9.75232,11.7905,0.0358572741226347
"1.75",0.493406408515039,4.98945996480045e-05,0.302883962653577,0,0,0.00994977068787352,0.000363020965321209,0.0271758326342775,0,0.0968547337321683,1.56469004187818e-10,0.0558992348805621,0.00022995820514242,0,0.589906408515039,0.0965,0,23.2243,6.96061,26.6422,12.4761,3.82373,4.76577,14.469,12.5476,10.4611,33.3424,10.9797,10.9797,13.7355,0.0295209001285354
"2",0.655503416782119,1.09205524894448e-05,0.0150702126803964,0.00141693471670669,0.000836789632724578,0.000527715993661855,0.00150843356183291,0.00636914846302161,0.00304943513749174,0.0112295890604289,5.12721955882907e-11,0.614996491447545,0.000487745484546799,0,0.718003416782119,0.0625,0,25.2392,8.41528,28.2268,14.5406,4.24254,5.86428,15.8198,15.0969,12.3753,36.1521,12.5469,12.5469,15.9443,0.0163657720364024
"2.25",0.0401027079108343,3.10105072436092e-06,0.0150911628357334,0,0,0.00193013378289692,0.000204348311195088,0.00102004125898268,0.00267829298818233,0.00246770721164335,0,0.000106233757310112,9.22023131336558e-05,0.0165094844010325,0.102602707910834,0.0625,0,27.1789,10.1063,29.6693,17.0574,4.79562,7.2256,17.4929,17.8648,14.9353,37.8635,14.7883,14.7883,18.5616,0.00798199728215145
